timestamp (seconds since 01/01/1970), system, entity , value (°c)
1516839956.403, lauv-xplore-1, Power Supply, 14.000
1516839956.461, lauv-xplore-1, Depth Sensor, 10.299
1516839956.561, lauv-xplore-1, Depth Sensor, 10.299
1516839956.604, lauv-xplore-1, Power Supply, 14.000
1516839956.661, lauv-xplore-1, Depth Sensor, 10.315
1516839956.672, lauv-xplore-1, Power Supply, 14.000
1516839956.678, lauv-xplore-1, Power Supply, 14.000
1516839956.761, lauv-xplore-1, Depth Sensor, 10.315
1516839956.811, lauv-xplore-1, Water Quality Sensor, 14.057
1516839956.840, lauv-xplore-1, Motor Controller (MCU), 23.000
1516839956.840, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839956.840, lauv-xplore-1, Motor, 11.000
1516839956.861, lauv-xplore-1, Depth Sensor, 10.315
1516839956.962, lauv-xplore-1, Depth Sensor, 10.315
1516839956.973, lauv-xplore-1, Mainboard (Core), 25.687
1516839956.974, lauv-xplore-1, Mainboard (SuperIO), 23.125
1516839956.974, lauv-xplore-1, Mainboard (Board), 21.625
1516839957.062, lauv-xplore-1, Depth Sensor, 10.315
1516839957.105, lauv-xplore-1, Power Supply, 13.500
1516839957.162, lauv-xplore-1, Depth Sensor, 10.315
1516839957.261, lauv-xplore-1, Depth Sensor, 10.315
1516839957.304, lauv-xplore-1, Power Supply, 14.000
1516839957.361, lauv-xplore-1, Depth Sensor, 10.315
1516839957.461, lauv-xplore-1, Depth Sensor, 10.315
1516839957.505, lauv-xplore-1, Power Supply, 14.000
1516839957.561, lauv-xplore-1, Depth Sensor, 10.315
1516839957.661, lauv-xplore-1, Depth Sensor, 10.348
1516839957.706, lauv-xplore-1, Power Supply, 14.000
1516839957.714, lauv-xplore-1, Power Supply, 14.000
1516839957.761, lauv-xplore-1, Depth Sensor, 10.348
1516839957.811, lauv-xplore-1, Water Quality Sensor, 14.056
1516839957.861, lauv-xplore-1, Depth Sensor, 10.348
1516839957.905, lauv-xplore-1, Power Supply, 14.000
1516839957.961, lauv-xplore-1, Depth Sensor, 10.348
1516839957.974, lauv-xplore-1, Mainboard (Core), 25.437
1516839957.974, lauv-xplore-1, Mainboard (SuperIO), 23.250
